strategy,load,density,n,critical_mean_wait_h_mean,critical_mean_wait_h_sd,critical_p95_wait_h_mean,critical_p95_wait_h_sd,urgent_within_6h_pct_mean,urgent_within_6h_pct_sd,mean_wait_h_mean,mean_wait_h_sd,p95_wait_h_mean,p95_wait_h_sd,utilisation_gini_mean,utilisation_gini_sd,mean_distance_km_mean,mean_distance_km_sd,cross_cluster_pct_mean,cross_cluster_pct_sd,completed_within_horizon_pct_mean,completed_within_horizon_pct_sd,regional_fairness_jain_mean,regional_fairness_jain_sd,escalated_pct_mean,escalated_pct_sd,unassigned_pct_mean,unassigned_pct_sd
FIFO,LOW,SPARSE,10,1.0661,0.6067,3.7817,2.5120,97.8626,4.3510,1.0704,0.5901,4.5200,2.5771,0.0293,0.0094,53.3674,2.2792,65.2778,3.0709,92.0833,5.1988,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
FIFO,LOW,DENSE,10,0.0652,0.0696,0.3133,0.2589,100.0000,0.0000,0.0288,0.0139,0.2417,0.1408,0.0894,0.0172,54.2064,2.9930,65.1389,3.1705,92.3611,4.1019,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FIFO,MEDIUM,SPARSE,10,21.2734,6.9429,42.3200,5.1861,30.9063,6.3888,21.6333,3.6626,42.5667,4.4753,0.0102,0.0028,51.7956,3.2654,64.6528,4.7940,59.2361,2.1479,0.9833,0.0142,0.0694,0.2196,0.0000,0.0000
FIFO,MEDIUM,DENSE,10,0.0340,0.0328,0.2950,0.2382,100.0000,0.0000,0.0336,0.0100,0.2517,0.0826,0.0455,0.0100,54.3811,2.2736,66.2500,4.1045,92.9167,1.9587,1.0000,0.0000,0.2778,0.3586,0.0000,0.0000
FIFO,HIGH,SPARSE,10,80.8146,8.5453,154.8150,7.0653,19.0933,3.0620,80.3254,2.5854,154.9617,3.7609,0.0055,0.0016,53.9589,1.6763,65.9375,2.5116,29.7569,1.3503,0.9680,0.0216,0.0347,0.1098,0.0000,0.0000
FIFO,HIGH,DENSE,10,3.5592,1.7355,10.5450,4.1100,71.7473,17.7518,3.5237,1.7408,10.9583,3.9980,0.0158,0.0036,54.1391,2.4740,65.3472,3.0084,84.2708,3.3944,1.0000,0.0000,0.0347,0.1098,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,10,0.5392,0.5417,1.8050,1.2902,100.0000,0.0000,1.2032,0.7121,6.3867,3.8238,0.0244,0.0085,54.4527,3.2784,67.5000,4.9949,91.3889,4.8023,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,10,0.0652,0.0696,0.3133,0.2589,100.0000,0.0000,0.0288,0.0139,0.2417,0.1408,0.0894,0.0172,54.2064,2.9930,65.1389,3.1705,92.3611,4.1019,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,10,2.3807,1.3986,12.8083,9.0541,67.4848,7.9824,21.7107,2.5090,77.9083,7.5468,0.0103,0.0020,51.6489,2.3698,64.3750,3.9562,58.8889,1.9312,0.9828,0.0172,0.1389,0.2928,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,10,0.0340,0.0328,0.2950,0.2382,100.0000,0.0000,0.0329,0.0103,0.2383,0.0846,0.0461,0.0100,54.6971,2.4202,66.5972,4.0947,92.9167,1.9587,1.0000,0.0000,0.2083,0.3354,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,10,22.6971,4.8556,79.2883,21.4977,31.7733,5.1901,80.1934,2.6030,187.9550,3.8621,0.0055,0.0014,53.7672,2.0567,65.6597,1.5394,29.4792,0.9882,0.9656,0.0381,0.0694,0.2196,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,10,0.5254,0.2278,2.1767,1.1030,95.9043,3.5195,3.4255,1.4741,19.2533,8.0142,0.0149,0.0027,54.0094,2.0774,64.8264,1.8738,84.3403,3.1758,0.9996,0.0004,0.0694,0.1464,0.0000,0.0000
GEO_NEAREST,LOW,SPARSE,10,0.3211,0.3401,1.1733,1.2275,100.0000,0.0000,0.3104,0.2751,1.9217,1.4970,0.0683,0.0178,30.9736,4.9237,32.0833,6.5946,95.5556,2.9860,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,10,0.0145,0.0273,0.0983,0.1475,100.0000,0.0000,0.0280,0.0143,0.2217,0.1352,0.3724,0.0641,7.0194,0.6360,0.0000,0.0000,95.4167,3.2108,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,10,8.3720,5.1671,35.1800,17.3398,69.0665,5.7983,8.3703,1.3305,40.6150,8.6108,0.0149,0.0046,28.4897,2.3796,29.1667,4.1538,79.5139,2.9689,0.9927,0.0052,0.0000,0.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,10,0.0436,0.0733,0.2800,0.3914,100.0000,0.0000,0.0290,0.0108,0.2433,0.1195,0.2656,0.0432,8.7978,0.8882,1.2500,0.9143,96.1111,1.1894,1.0000,0.0000,0.1389,0.2928,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,10,44.9414,7.9205,121.7100,14.4139,32.0817,4.3563,45.8602,1.0979,126.6350,4.0676,0.0077,0.0024,24.7171,1.3805,23.9583,2.4223,40.7639,0.9711,0.9706,0.0181,0.0694,0.1464,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,10,0.2130,0.2037,1.2850,1.0656,99.7086,0.4693,0.2149,0.1190,1.3300,0.6084,0.0622,0.0139,25.4875,3.1818,24.4792,3.8080,94.1319,2.1743,1.0000,0.0000,0.1389,0.2428,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,10,0.2410,0.2158,1.1067,1.0240,100.0000,0.0000,0.4094,0.3996,2.2933,1.9661,0.0689,0.0190,32.3204,5.6968,34.1667,7.2966,95.1389,3.6600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,10,0.0145,0.0273,0.0983,0.1475,100.0000,0.0000,0.0280,0.0143,0.2217,0.1352,0.3724,0.0641,7.0194,0.6360,0.0000,0.0000,95.4167,3.2108,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
